Date,Electric (kWh),Gas (cubic meters),What happened between this time point and the previous time point
17/04/2010 07:30:00,"41,393.90","5,311.41",
18/04/2010 11:38:00,"41,400.50","5,313.92",
18/04/2010 17:42:00,"41,401.70","5,314.59","This captures a couple of showers, no space heating"
19/04/2010 13:04:00,"41,405.80","5,315.19",
19/04/2010 14:12:00,"41,406.00","5,315.21",this captures cooking pasta for 10 minutes on gas but doesn't capture boiling the water in the kettle
20/04/2010 12:07:00,"41,409.80","5,316.22",Ran heating for about 90 mins
22/04/2010 08:47:00,"41,422.45","5,319.42","Ran heating & watched TV for several hours, dishwasher"
22/04/2010 09:55:00,"41,423.10","5,319.92","boiled egg, coffee, toast, shower, hoover the house"
23/04/2010 18:31:00,"41,431.00","5,322.24",
24/04/2010 09:29:00,"41,433.95","5,323.00",
24/04/2010 10:48:00,"41,434.50","5,323.35","boiled egg, kettle x 2, toaster x 2, shower, HTPC recording"
24/04/2010 12:05:00,"41,434.80","5,323.35",
24/04/2010 14:41:00,"41,436.60","5,323.35",Washing machine on 80 degrees.
24/04/2010 15:08:00,"41,436.70","5,323.36","Boiled kettle, cooked pasta for 5 mins"
25/04/2010 01:29:00,"41,438.70","5,323.98",
25/04/2010 10:02:00,"41,439.40","5,324.00",Everything off
26/04/2010 13:46:00,"41,448.00","5,324.42",Just had leak fixed
27/04/2010 08:59:00,"41,452.60","5,325.00",
29/04/2010 12:05:00,"41,461.70","5,327.71",
01/05/2010 08:31:00,"41,470.70","5,328.79",
03/05/2010 11:53:00,"41,478.00","5,329.03",
04/05/2010 09:26:00,"41,483.60","5,331.71",ran heating last night and this morning; turned off around 9:18am
04/05/2010 13:40:00,"41,484.25","5,331.71",
04/05/2010 17:26:00,"41,485.90","5,331.71",Dishwasher
10/05/2010 22:37:00,"41,518.15","5,342.73",Just back from Belfast
12/05/2010 09:16:00,"41,527.50","5,347.41",
26/08/2011 11:50:00,"44,277.50","6,165.74",submitted gas reading to british gas
15/02/2012 10:30:00,"45,635.00","6,659.23",
06/03/2012 00:00:00,,"6,718.17",Finished insulating bedroom
02/04/2012 10:45:00,"46,019.00","6,767.00",
16/06/2012 00:00:00,,"6,873.00",
04/09/2012 09:30:00,"47,143.55","6,907.02",
30/11/2012 12:44:00,"47,833.15","7,078.39",
31/12/2012 08:35:00,"48,098.20",,
01/01/2013 08:00:00,"48,110.40",,
01/01/2013 08:40:00,"48,110.60",,
01/01/2013 10:28:00,"48,112.00",,Breakfast
02/01/2013 08:03:00,"48,119.90",,
03/01/2013 08:01:00,"48,130.84",,
04/01/2013 08:00:00,"48,143.24",,
05/01/2013 08:00:00,"48,152.75",,
07/01/2013 08:00:00,"48,173.64",,
08/01/2013 08:13:00,"48,184.24",,
09/01/2013 08:00:00,"48,194.03",,
10/01/2013 08:00:00,"48,204.21",,
02/03/2013 15:28:00,"48,686.85","7,449.87",
22/05/2013 20:36:00,"49,323.90",,
31/05/2013 20:00:00,"49,357.00","7,657.19",
29/08/2013 09:50:00,,"7,674.07",
27/11/2013 18:30:00,,"7,808.60",
05/03/2014 08:54:00,"51,339.60","8,112.97",
26/08/2014 22:33:00,,"8,232.44",
28/11/2014 08:55:00,"53,354.50","8,367.78",
02/03/2015 07:59:53,,"8,726.49",
05/05/2015 08:26:38,"54,771.90",,
02/06/2015 08:29:15,,"8,870.33",
27/08/2015 20:14:50,,"8,902.63",
04/12/2015 08:07:00,,"9,042.73",
06/06/2016 08:21:00,"57,988.10","9,489.22",
02/08/2016 21:05:27,"58,431.20",,
03/09/2016 15:20:00,,"9,523.57",
01/12/2016 10:50:09,"59,506.50","9,677.66",
